0.23908,0,0
0.24323,0,0
0.24845,0,0
0.2508,0,0
0.25287,0,0
0.26408,1.7207e-006,1.7207e-006
0.30058,0,0
0.79285,1.7207e-006,1.7207e-006
0.80077,0,0
0.8131,1.7207e-006,1.7207e-006
0.8189,0,0
0.83058,1.7207e-006,1.7207e-006
1.1526,5.1622e-006,2.9805e-006
1.6157,5.1622e-006,2.9805e-006
1.6284,0,0
1.6374,5.1622e-006,2.9805e-006
1.6727,6.8829e-006,3.4414e-006
1.6747,8.6036e-006,3.8477e-006
2.2139,1.2045e-005,4.5527e-006
2.5392,1.0324e-005,4.2149e-006
2.6324,1.2045e-005,4.5527e-006
2.6595,8.6036e-006,3.8477e-006
2.6645,6.8829e-006,3.4414e-006
2.6777,1.0324e-005,4.2149e-006
2.692,1.3766e-005,4.8669e-006
2.6941,8.6036e-006,3.8477e-006
3.4,1.2045e-005,4.5527e-006
3.4466,1.5486e-005,5.1622e-006
3.4647,1.0324e-005,4.2149e-006
3.5697,1.5486e-005,5.1622e-006
3.573,8.6036e-006,3.8477e-006
3.6006,1.3766e-005,4.8669e-006
0.024917,0,0
0.039767,0,0
0.042033,0,0
0.048533,0,0
0.0503,0,0
0.052883,0,0
0.056567,0,0
0.1091,0,0
0.1602,0,0
0.16785,0,0
0.17142,9.6966e-007,9.6966e-007
0.17583,9.6966e-007,9.6966e-007
0.17957,0,0
0.18215,0,0
0.18778,0,0
0.19598,0,0
0.20728,0,0
0.32052,0,0
0.33043,3.8786e-006,1.9393e-006
0.3357,9.6966e-007,9.6966e-007
0.34052,0,0
0.34293,9.6966e-007,9.6966e-007
0.34817,0,0
0.35907,0,0
0.36602,9.6966e-007,9.6966e-007
0.41998,9.6966e-007,9.6966e-007
0.59872,9.6966e-007,9.6966e-007
0.61772,9.6966e-007,9.6966e-007
0.62538,3.8786e-006,1.9393e-006
0.63105,9.6966e-007,9.6966e-007
0.66142,1.9393e-006,1.3713e-006
0.67527,9.6966e-007,9.6966e-007
0.87503,3.8786e-006,1.9393e-006
0.89755,2.909e-006,1.6795e-006
0.91388,1.9393e-006,1.3713e-006
0.93637,1.9393e-006,1.3713e-006
0.95967,4.8483e-006,2.1683e-006
1.1026,4.7065e-006,4.7065e-006
1.175,4.7065e-006,4.7065e-006
1.2069,0,0
1.262,1.412e-005,8.1522e-006
1.6533,9.4131e-006,6.656e-006
1.7051,1.8826e-005,9.4131e-006
1.7058,0,0
1.7615,0,0
1.7867,1.412e-005,8.1522e-006
1.8093,0,0
1.9646,9.4131e-006,6.656e-006
3.3438,3.7652e-005,1.3312e-005
3.4101,1.412e-005,8.1522e-006
3.507,3.7652e-005,1.3312e-005
3.5693,2.8239e-005,1.1529e-005
3.6273,3.2946e-005,1.2453e-005
5.892,5.6478e-005,1.6304e-005
5.9769,5.1772e-005,1.561e-005
6.1616,7.0598e-005,1.8228e-005
6.2763,5.1772e-005,1.561e-005
6.6263,9.4131e-005,2.1048e-005
