1.3097,0,0
1.317,0,0
1.4877,0,0
1.519,0,0
1.5261,5.8178e-008,5.8178e-008
1.808,1.7453e-007,1.0077e-007
2.0502,2.9089e-007,1.3009e-007
2.4193,3.4907e-007,1.4251e-007
2.7488,1.9199e-006,3.3421e-007
3.3308,2.6762e-006,3.9458e-007
3.8125,3.1998e-006,4.3146e-007
3.9971,4.596e-006,5.1709e-007
5.095,6.6323e-006,6.2116e-007
1.0194,0,0
1.1849,0,0
1.5507,5.8178e-008,5.8178e-008
1.9822,2.3271e-007,1.1636e-007
2.4354,8.7266e-007,2.2532e-007
3.2612,2.0362e-006,3.4418e-007
3.3113,3.7234e-006,4.6542e-007
4.226,4.9451e-006,5.3637e-007
7.1966,1.4719e-005,9.2537e-007
8.5442,1.914e-005,1.0552e-006
8.9715,2.2631e-005,1.1474e-006
